,0
73000,1
73829,1
73892,2
74722,1
76320,1
76771,1
78434,1
78817,1
78852,1
78938,1
79070,1
80221,1
82328,1
82843,1
83226,1
84121,1
84673,5
85129,1
85266,1
86033,1
87695,1
90890,1
90967,1
91853,1
93963,1
96587,1
97158,1
97673,1
98120,1
99143,1
99531,60
99579,16
99633,10
99696,1
99754,2
99808,14
99816,2
99863,2
99864,4
99925,1
100309,1
100501,1
102031,6
102411,1
103241,1
103309,5
103686,1
103942,1
105284,1
105668,1
106049,1
106361,1
106368,1
106429,1
106942,1
106967,2
107003,1
107086,1
107106,1
107120,2
107125,2
107138,1
107146,1
107147,1
107162,1
107173,1
107174,2
107175,1
107176,2
107178,2
107188,1
107204,1
107206,1
107209,1
107210,1
107214,1
107227,2
107229,1
107230,3
107252,1
107265,1
107282,3
107283,6
107344,1
107399,1
107401,1
107402,1
107403,4
107458,2
107459,1
107461,3
107520,2
107521,2
107543,1
107578,1
107580,3
107589,1
107590,1
107592,1
107595,1
107596,1
107604,1
107606,1
107607,1
107610,1
107623,1
107624,1
107626,3
107628,2
107655,1
107680,2
107683,1
107685,1
107686,1
107738,2
107739,1
107743,1
107744,2
107780,1
107797,2
107800,1
107801,3
107832,1
107853,1
107855,2
107856,1
107857,3
107883,1
107910,2
107912,1
107915,2
107967,1
107968,1
107969,1
107971,1
107973,2
107982,1
107983,1
107985,2
107989,1
108000,2
108003,1
108018,1
108021,1
108023,4
108050,1
108077,1
108081,3
108114,2
108134,1
108135,1
108137,4
108194,1
108196,3
108197,1
108207,1
108208,1
108214,1
108223,1
108249,2
108253,2
108268,1
108269,1
108274,1
108278,1
108280,1
108286,1
108302,1
108303,1
108305,1
108306,2
108337,1
108338,1
108359,1
108363,1
108364,2
